Exit code: 0
USER     PID   TT   %CPU STAT PRI     STIME     UTIME COMMAND
runner  2622   ??    0.0 S    20T   0:00.06   0:00.13 /Users/runner/work/Smart-Stage/Smart-Stage/dist/smartstage-darwin-arm64 --port 49169 --bind 127.0.0.1 --config-dir /var/folders/nj/vtw8zd2j31d1gdrtntc5y4600000gn/T/smartstage-native-http-6_j72a4_ --media-root /Users/runner/work/Smart-Stage/Smart-Stage/testdata/media
        2622         0.0 S    20T   0:00.01   0:00.00 
        2622         0.0 S    20T   0:00.01   0:00.01 
        2622         0.0 S    20T   0:00.00   0:00.00 
        2622         0.0 S    20T   0:00.00   0:00.00 
        2622         0.0 S    20T   0:00.00   0:00.00 
        2622         0.0 S    20T   0:00.03   0:00.02 
        2622         0.0 S    20T   0:00.01   0:00.01 
        2622         0.0 S    19T   0:00.00   0:00.00 
        2622         0.0 S    20R   0:00.00   0:00.00 
        2622         0.0 S    20T   0:00.04   0:00.06 
        2622         0.0 S    20T   0:00.01   0:00.01 
        2622         0.0 S    20T   0:00.00   0:00.00 
        2622         0.0 S    20T   0:00.00   0:00.00 
        2622         0.0 S    20R   0:00.02   0:00.02 
        2622         0.0 S    20R   0:00.00   0:00.00 
        2622         0.0 S    20R   0:00.02   0:00.02 
        2622         0.0 S    20R   0:00.02   0:00.02 
        2622         0.0 S    20R   0:00.02   0:00.02 
        2622         0.0 S    20T   0:00.00   0:00.00 
        2622         0.0 S    20R   0:00.00   0:00.00 
        2622         0.0 S    20R   0:00.04   0:00.03 
        2622         0.0 S    20R   0:00.02   0:00.01 
        2622         0.0 S    20T   0:00.01   0:00.01 
        2622         0.0 S    20T   0:00.01   0:00.01 
        2622         0.0 S    20T   0:00.01   0:00.01 
        2622         0.0 S    20R   0:00.00   0:00.00 
        2622         0.0 S    20T   0:00.00   0:00.00 
        2622         0.0 S    20R   0:00.01   0:00.02 
        2622         0.0 S    20R   0:00.00   0:00.00 
        2622         0.0 S    20R   0:00.00   0:00.00 
        2622         0.0 S    20R   0:00.00   0:00.00 
        2622         0.0 S    20R   0:00.01   0:00.01 
        2622         0.0 S    20R   0:00.00   0:00.00 
        2622         0.0 S    20R   0:00.00   0:00.00 
        2622         0.0 S    20T   0:00.00   0:00.00 
        2622         0.0 S    20R   0:00.00   0:00.00 
        2622         0.0 S    20R   0:00.00   0:00.00 
        2622         0.0 S    20R   0:00.00   0:00.00 
        2622         0.0 S    20T   0:00.00   0:00.00 
        2622         0.0 S    20R   0:00.00   0:00.01 
        2622         0.0 S    20R   0:00.00   0:00.00 
